Name,Parsed Name,Title,Category,Level,Type,System
HARD_ERR,hard error,a hard error sounded,Hardware,Failure,Functional,NCE
OSPF Neighbor State Changes,Open Shortest Path First neighbor state changes,a neighbor state changed at the Open Shortest Path,Software,Info,Functional,NCE
OSPF Interface State Changed,Open Shortest Path First interface state changed,a state changed in the Open Shortest Path interface,Software,Info,Functional,NCE
negotiation failed alarm,negotiation failed alarm,a negotiation failed,Software,Failure,Functional,NCE
DOWN_E1_AIS,down A digital communication link that enables the transmission of voice Alarm Indication Signal,A digital communication link was down that enables the transmission of voice Alarm Indication Signal,Hardware,Failure,Networking,NCE
CES_LOSPKT_EXC,ces lospkt Exceeds,lost packets Exceeded threshold,Software,Info,Networking,NCE
Number of Input Error Packets Exceeded the Threshold,number of input error packets exceeded the threshold,number of input error packets exceeded the threshold,Software,Info,Networking,NCE
CHAN_ADD,Channel add,a Channel was added,Software,Info,Networking,NCE
Received Pause Frames Exceeded Threshold,received pause frames exceeded threshold,received pause frames exceeded threshold,Software,Info,Networking,NCE
ETH_CFM_LOC,Ethernet Connectivity Fault Management Loss Of Connectivity,the Ethernet Connectivity Fault Management Lost its Connectivity,Hardware,Failure,Networking,NCE
FDBSIZEALM_ELAN,FDB Size Alarm Ethernet LAN (Local Access Network),THE Size was abnormal at the Ethernet Local Access Network,Software,Info,Networking,NCE
Tunnel Transmitting Services Is Unreachable,tunnel transmitting services is unreachable,the tunnel transmitting services was unreachable,Hardware,Failure,Functional,NCE
LCS_LIMITED,License limited,the License found limited,Software,Info,Functional,NCE
Input rate alarm notification,input rate alarm notification,input rate was abnormal,Software,Info,Functional,NCE
OUT_PWR_ABN,out Power Abnormal,out Power was Abnormal,Power,Info,Functional,NCE
REM_SF,Remote Signal Failure,a Remote Signal Failed,Hardware,Failure,Networking,NCE
R_LOS,receive side Loss Of Signal,the receive side Lost its Signal,Hardware,Failure,Functional,NCE
The alarm of copper negotiation rate fall down,the alarm of copper negotiation rate fall down,the alarm of copper negotiation rate degraded,Software,Info,Functional,NCE
COM_EXTECC_FULL,Communication Extended ECC Protocol full,Communication Extended AT THE full Protocol,Software,Info,Networking,NCE
PW VC Down,Power Virtual Circuit down,Power Virtual Circuit stopped working,Hardware,Failure,Functional,NCE
Optical Invalid,optical invalid,an optical communication was invalid,Software,Failure,Networking,NCE
FLOW_OVER,flow over,the flow exceeded threshold,Software,Info,Networking,NCE
RADIO_RSL_HIGH,radio Received Signal Level high,the radio Received Signal Level was high,Hardware,Info,Functional,NCE
LASER_MOD_ERR,laser module error,the laser module was faulty,Hardware,Failure,Functional,NCE
SUBNET_RT_CONFLICT,Subnetwork route conflict,the Subnetwork route recorded a conflict,Software,Failure,Networking,NCE
L3VPN VRF Down,Layer3 Virtual Private Network Virtual Routing and Forwarding down,the third Layer Virtual Private Network Routing and Forwarding stopped working,Hardware,Failure,Networking,NCE
Board Reset By Cmd,board reset by Command,a board was reset by Command,Hardware,Info,Functional,NCE
XPIC_LOS,Cross-Polarization Interference Cancellation Loss Of Signal,the Cross Polarization Interference Cancellation Lost its Signal,Hardware,Failure,Functional,NCE
Optical Remove,optical remove,an optical communication was removed,Software,Info,Networking,NCE
BD_NOT_INSTALLED,board not installed,a board was not installed,Hardware,Failure,Functional,NCE
hwBaseArpVlanCarEnhanceTrap,Hardware Base ARP VLAN Car Enhance Trap,Hardware Base issue occurred,Hardware,Failure,Functional,NCE
ARP VLAN CAR take effect,Address Resolution Protocol Virtual Local Area Networks commited access rate take effect,the commited access rate took effect in the Address Resolution Local Area Networks,Software,Info,Networking,NCE
Gtl Default Value,GPRS To LTE (This parameter specifies whether the policy for handovers from a GPRS network to an LTE network can be delivered.) default value,the second to third generation delivery parameter had default value,Software,Info,Functional,NCE
The optical module is removed,the optical module is removed,the optical module was removed,Hardware,Info,Functional,NCE
MW_BER_EXC,Microwave Bit Error Rate Exceeds,the Microwave Bit Error Rate Exceeded threshold,Software,Info,Networking,NCE
AM_DOWNSHIFT,amplitude modulation downshift,the amplitude modulation system downshifted,Hardware,Info,Functional,NCE
DBMS_ERROR,Data Base Mangement System error,Data Base Mangement System was abnormal,Software,Info,Functional,NCE
LICENSE_LOST,license lost,license lost,Software,Failure,Functional,NCE
XQoS CPU Defend Discarded Packet Alarm,Interface Quality of service Central Processing Unit defend discarded packet alarm,a defend discarded packet was recorded at the Central Processing Unit of Interface Quality of service,Software,Info,Functional,NCE
RMON_ALM_INBADOCTS_OVER,Remote Network Monitoring Alarm the octet number of bad packets over,the octet number of bad packets in Remote Network Monitoring was over,Software,Info,Networking,NCE
Up Micro Switch Open,up micro switch open,the upper micro switch was opened,Hardware,Info,Functional,NCE
NE Software Management - NE Backup File Missing,ne software management ne backup file missing,a backup file was missing in the software management system,Software,Info,Functional,NCE
NE Software Management - Automatic Backup operation failed,ne software management automatic backup operation failed,the automatic backup operation failed in the software management system,Software,Failure,Functional,NCE
BRDCASTRATIO_OVER,Broadcast Ratio over,the Broadcast Ratio exceeded threshold,Software,Info,Networking,NCE
IF_INPWR_ABN,intermidiate frequency Input Power Abnormal,the intermidiate frequency Input Power was Abnormal,Hardware,Info,Functional,NCE
UP_E1_AIS,up A digital communication link that enables the transmission of voice Alarm Indication Signal,the upper voice transmission link was abnormal,Hardware,Info,Networking,NCE
ETH_CFM_RDI,Ethernet Connectivity Fault Management Remote Defect Indication,a Remote Defect was Indicated at the Ethernet Connectivity Fault Management,Hardware,Info,Functional,NCE
The interface traffic exceeds the threshold,the interface traffic exceeds the threshold,the interface traffic exceeded the threshold,Software,Info,Networking,NCE
PORTSWITCH_FAIL,Port Switch fail,Port Switch failed,Hardware,Failure,Networking,NCE
REMOTE_FAULT,remote fault,a remote fault was recorded,Hardware,Failure,Functional,NCE
LOCAL_FAULT,local fault,a local fault was recorded,Hardware,Failure,Functional,NCE
Local Fault Alarm,local fault alarm,a local fault was recorded,Hardware,Failure,Functional,NCE
Alarm of failed LAG negotiation,alarm of failed link aggregation group negotiation,a link aggregation group negotiation failed,Software,Failure,Networking,NCE
RPS_INDI,radio protection switching indi,a radio protection switching problem occurred,Hardware,Info,Functional,NCE
FAN_AGING,fan aging,a fan is aging,Hardware,Info,Functional,NCE
LAN_LOC,lan Loss Of Connectivity,local area network Lost its Connectivity,Hardware,Failure,Networking,NCE
LASER_SHUT,laser shut,a laser shut was applied,Hardware,Info,Functional,NCE
Sub Card Removed,sub card removed,the sub card was removed,Hardware,Info,Functional,NCE
IN_PWR_LOW,Input Power low,the Input Power recorded a low level,Power,Info,Functional,NCE
Card Invalid,card invalid,a card was invalid,Hardware,Failure,Functional,NCE
Communicate Error,communicate error,failed to communicate,Software,Failure,Networking,NCE
Board Invalid,board invalid,a board was invalid,Hardware,Failure,Functional,NCE
BIP_EXC,bit interleaved parity Exceeds,the bit interleaved parity Exceeded threshold,Hardware,Info,Networking,NCE
BIP_SD,bit interleaved parity Signal Degradation,the bit interleaved parity Signal Degraded,Hardware,Info,Networking,NCE
ODU1_PM_OCI,Optical channel Data Unit Path Monitoring Open Connection Indication,Open Connection Indicated at the Path Monitoring of Optical channel Data Unit,Hardware,Info,Functional,NCE
ODU2_PM_OCI,Optical channel Data Unit Path Monitoring Open Connection Indication,Open Connection Indicated at the Path Monitoring of Optical channel Data Unit,Hardware,Info,Functional,NCE
Board Temperature over Minor Upper Threshold,board temperature over minor upper threshold,board temperature recorded over minor upper threshold,Hardware,Info,Functional,NCE
Interface-based CAR alarm,interface based commited access rate alarm,interface based commited access rate was abnormal,Software,Info,Networking,NCE
Board Fail,board fail,board failed,Hardware,Failure,Functional,NCE
Entity Removed with Offline Button Pressed,entity removed with offline button pressed,an entity was removed with offline button pressed,Hardware,Info,Functional,NCE
Reset due to board heartbeat loss,reset due to board heartbeat loss,a reset applied due to board heartbeat loss,Hardware,Info,Functional,NCE
Desynchronization of SM and SC on LPU,desynchronization of section monitoring and Section controller on Line Processing Unit,Synchronization error occurred between section monitoring and Section controller on Line Processing Unit,Software,Failure,Functional,NCE
Failure of Board Channels,failure of board channels,board channels failed,Hardware,Failure,Functional,NCE
Board Voltage Below Critical Lower Threshold,board voltage below critical lower threshold,board voltage was below critical lower threshold,Power,Info,Functional,NCE
The alarm of TTL-Expired loop detection,the alarm of Time To Live expired loop detection,the Time To Live expired loop was detected,Software,Info,Functional,NCE
CFCARD_FAILED,CF Card failed,A CERTIFICATE Card failed,Hardware,Failure,Functional,NCE
ELAN_SMAC_FLAPPING,Ethernet LAN (Local Access Network) Source MAC (Medium Access Network) address flapping,address flapped in Ethernet Local Access Network and Source Medium access,Software,Failure,Networking,NCE
ODU0_PM_OCI,Optical channel Data Unit Path Monitoring Open Connection Indication,Open Connection Indicated at the Path Monitoring of Optical channel Data Unit,Hardware,Info,Functional,NCE
Fan Remove,fan remove,fan was removed,Hardware,Emergency,Functional,NCE
PORT_MODULE_OFFLINE,port module offline,port module found offline,Hardware,Info,Functional,NCE
Remote Fault Alarm,remote fault alarm,remote fault alarm sounded,Hardware,Failure,Functional,NCE
CCC VC Status Changed to Down,Circuit Cross-Connect Virtual Circuit status changed to down,Circuit Cross Connect Virtual Circuit status changed to down,Hardware,Failure,Functional,NCE
Overlow Input Power of Optical Module,overlow input power of optical module,the input power source was overlow in optical module,Power,Info,Functional,NCE
Alarm for symbol errors,alarm for symbol errors,symbol errors detected,Software,Info,Functional,NCE
ODU_SNCP_STA_INDI,odu Subnetwork connection protection Status indi,a Subnetwork connection protection Status was abnormal,Software,Info,Networking,NCE
MUT_LOS,multiplexed Loss Of Signal,multiplexed Loss Of Signal was detected,Hardware,Failure,Networking,NCE
OSC_LOS,Optical Supervisory Channel Loss Of Signal,Optical Supervisory Channel Lost its Signal,Hardware,Failure,Functional,NCE
ODU_SNCP_PS,odu Subnetwork connection protection Packet Switched,a Subnetwork connection protection Packet Switched,Software,Info,Networking,NCE
OTU2_LOM,otu2 Loss of multiframes,a Loss of multiframes was detected,Software,Info,Networking,NCE
Number of Output Error Packets Exceeded the Threshold,number of output error packets exceeded the threshold,number of output error packets exceeded the threshold,Software,Info,Networking,NCE
Error in the data channel of the subcard,error Input the data channel of the Sub-card,the data channel of the Sub card was errornous,Hardware,Info,Functional,NCE
Error in the universal chip of subcards,error Input the universal chip of subcards,the universal chip of subcards was errornous,Hardware,Info,Functional,NCE
Subcard clock error,Sub-card clock error,Sub card clock error occurred,Software,Failure,Functional,NCE
Entity Removed (Base),entity removed base,a base entity was removed,Hardware,Info,Functional,NCE
LOOP_ALM,loop Alarm,loop Alarm sounded,Hardware,Info,Functional,NCE
TU_AIS,tu Alarm Indication Signal,Unknown Alarm was triggered,Software,Info,Functional,NCE
ETH_PWR_SUPPLY_FAIL,Ethernet Power supply fail,Ethernet Power supply failed,Power,Failure,Functional,NCE
WRG_BD_TYPE,Wrong board type,Wrong board type was detected,Hardware,Info,Functional,NCE
Card Remove,card remove,a card was removed,Hardware,Info,Functional,NCE
OTU2_DEG,otu2 Degree,Unknown Alarm was triggered,Software,Info,Functional,NCE
CPW_OTU_TEL_PATHMIS,Circuit Pack Optical Transport Unit telecommunication link path status is inconsistent,the path status was inconsistent in the telecommunication link of Circuit Pack Optical Transport Unit,Software,Failure,Networking,NCE
ODU2_PM_DEG,Optical channel Data Unit Path Monitoring Degree,Optical channel Data Unit Path Monitoring degraded,Hardware,Info,Functional,NCE
BEFFEC_EXC,Before Forward Error Correction Exceeds,the Before Forward Error Correction Exceeded threshold,Software,Info,Networking,NCE
CPW_OMS_TEL_PATHMIS,Circuit Pack Optical Multiplex Section telecommunication link path status is inconsistent,the path status was inconsistent in the telecommunication link of Circuit Pack Optical Multiplex Section,Software,Failure,Networking,NCE
OPU1_PLM,Optical channel Payload Unit payload mismatch,a payload mismatch occurred at the first optical channel Payload Unit,Software,Failure,Functional,NCE
E1_LOS,A digital communication link that enables the transmission of voice Loss Of Signal,the voice transmission link Lost its Signal,Hardware,Failure,Functional,NCE
Port and Optical Module Rate Mismatch,port and optical module rate mismatch,a mismatch was recorded between the port and optical module rate,Software,Failure,Networking,NCE
OPU2_PLM,Optical channel Payload Unit payload mismatch,a payload mismatch occurred at the second optical channel Payload Unit,Software,Failure,Functional,NCE
ALS_ACTIVE,Automatic laser shutdown active,Automatic laser shutdown was activated,Hardware,Info,Functional,NCE
ETH_AUTO_LINK_DOWN,Ethernet auto link down,Ethernet auto link stopped working,Hardware,Failure,Networking,NCE
ERPS_IN_PROTECTION,Ethernet RInputg Protection Input protection,Ethernet RIng and Input Protection issue reported,Hardware,Info,Networking,NCE
PLA_MEMBER_DOWN_EXT,Physical Link Aggregation member down External,the External Physical Link Aggregation member stopped working,Hardware,Failure,Networking,NCE
OTU2_LOF,otu2 lof,Unknown Alarm was triggered,Software,Info,Functional,NCE
MAC/IP Conflict,Medium Access Control Internet Protocol conflict,a conflict found in Medium Access Control and Internet Protocol,Software,Failure,Networking,NCE
CRC4_CROSSTR,Cyclic Redundancy Check Cross Transmission,Cyclic Redundancy Check Cross Transmission unmatched,Software,Info,Networking,NCE
ODU2_PM_SSF,Optical channel Data Unit Path Monitoring Server Signal Fail,a Server Signal Failed at the Path Monitoring of Optical channel Data Unit,Hardware,Failure,Functional,NCE
OTU2_SSF,otu2 Server Signal Fail,a Server Signal Failed,Hardware,Failure,Functional,NCE
IN_PWR_HIGH,Input Power high,the Input Power was high,Power,Info,Functional,NCE
POWER_FAIL,power fail,the power source failed,Power,Failure,Functional,NCE
ODU2_PM_LCK,Optical channel Data Unit Path Monitoring locked?ú?›?›?,Optical channel Data Unit Path Monitoring locked,Software,Failure,Functional,NCE
PG_PRT_DEGRADED,protection group part degraded,protection group part degraded,Hardware,Info,Functional,NCE
PLA_PKT_ERR,Physical Link Aggregation packet error,Physical Link Aggregation packet triggered an error,Hardware,Failure,Networking,NCE
ODU1_LOFLOM,Optical channel Data Unit loss of frames loss of multiframes,Optical channel Data Unit lost multiframes,Software,Info,Networking,NCE
System Config Error,system configuration error,system configuration error was registered,Configuration,Failure,Functional,NCE
Card Fail,card fail,card failed,Hardware,Failure,Functional,NCE
MW_CONT_WAVE,Microwave continuous wave,Microwave continuous wave issue reported,Hardware,Info,Functional,NCE
Board Remove,board remove,a board was removed,Hardware,Emergency,Functional,NCE
Power Sensor of Board 1220 Failed,power sensor of board 1220 failed,the power sensor of board failed,Hardware,Failure,Functional,NCE
Power module was powered off,power module was powered off,power module was powered off,Power,Info,Functional,NCE
48V power supply abnormal,Direct Current power supply abnormal,Direct Current power supply was abnormal,Power,Info,Functional,NCE
SOFT_ERROR,Software error,Software error occurred,Software,Failure,Functional,NCE
XCP_DEGRADE,Exception?ú?›?›? degrade,an Exceptional? degradation recorded,Software,Info,Functional,NCE
DPS_STA_INDI,Device protection Statustus Status indi,Device protection issue recorded,Software,Info,Functional,NCE
SWDL_NEPKGCHECK,Software Download software package file check,software package file checked for Software Download,Software,Info,Functional,NCE
LINK_ERR,link error,link error occurred,Software,Failure,Networking,NCE
NESF_LOST,Network Element software lost,Network Element software lost,Software,Failure,Functional,NCE
DCNLINK_OVER,data communication network link over,data communication network link was over,Software,Info,Networking,NCE
PG_LINK_FAIL,protection group link fail,protection group link failed,Software,Failure,Networking,NCE
Alarm that all LAG bandwidth is lost,alarm that all link aggregation group bandwidth is lost,all link aggregation group bandwidth was lost,Software,Info,Networking,NCE
MW_FEC_EXC,Microwave forward error correction Exceeds,Microwave forward error correction Exceeded threshold,Software,Info,Functional,NCE
Attack Trap Detected by Security Center,attack trap detected by security center,attack trap detected by security center,Hardware,Failure,Functional,NCE
Down Micro Switch Open,down micro switch open,down micro switch was opened,Hardware,Info,Functional,NCE
CONFIGURATION RESTORATION FAILURE ALARM,configuration restoration failure alarm,configuration restoration failed,Configuration,Failure,Functional,NCE
ODU0_PM_LCK,Optical channel Data Unit Path Monitoring locked?ú?›?›?,Optical channel Data Unit Path Monitoring locked,Software,Failure,Functional,NCE
Chassis Fail,chassis fail,chassis failed,Hardware,Failure,Functional,NCE
PLA_CFG_MISMATCH,Physical Link Aggregation Configuration mismatch,a Configuration mismatch was recorded in the Physical Link Aggregation,Configuration,Failure,Networking,NCE
CPW_OTU_TEL_DEG,Circuit Pack Optical Transport Unit telecommunication link Degree,Circuit Pack Optical Transport Unit telecommunication link Degraded,Hardware,Info,Networking,NCE
CPW_OTU_TEL_DOWN,Circuit Pack Optical Transport Unit telecommunication link down,Circuit Pack Optical Transport Unit telecommunication link stopped working,Hardware,Failure,Functional,NCE
PTP_SOURCE_SWITCH,Precision Time Protocol source switch,Precision Time Protocol source switch recorded,Hardware,Info,Functional,NCE
OPU2_CSF,Optical channel Payload Unit Client side signals fail,Optical channel Payload Unit Client side signals failed,Hardware,Failure,Functional,NCE
CPW_ODU_TEL_PATHMIS,Circuit Pack odu telecommunication link path status is inconsistent,Circuit Pack telecommunication link path status was inconsistent,Hardware,Info,Networking,NCE
Card Reset By Cmd,card reset by Command,a card was reset by Command,Hardware,Info,Functional,NCE
RFUSD_DELAY_UNEQUAL,rfusd delay unequal,a delay was unequal,Software,Info,Functional,NCE
LAG_MEMBER_DOWN,link aggregation group member down,link aggregation group member stopped working,Software,Failure,Functional,NCE
ALS_TRIGGERED,Automatic laser shutdown triggered,Automatic laser shutdown was triggered,Hardware,Info,Functional,NCE
SUM_INPWR_LOW,sum Input Power low,sum Input Power was recorded low,Power,Info,Functional,NCE
LP_REI,lower order path remote error indication,lower order path remote error indicated,Software,Failure,Networking,NCE
Eth-Trunk Member Down,Ethernet trunk member down,Ethernet trunk member stopped working,Hardware,Failure,Functional,NCE
OPA_FAIL_INDI,optical power adjustment fail indi,optical power adjustment failed,Hardware,Failure,Functional,NCE
The total bandwidth of all cards exceeds the forwarding capacity of system control board,the total bandwidth of all cards exceeds the forwarding capacity of system control board,The total bandwidth of all cards exceeded the forwarding capacity of system control board,Software,Info,Functional,NCE
Board Unstable,board unstable,board was found unstable,Hardware,Info,Functional,NCE
Bus Bar Undervoltage,Bus Bar Undervoltage,the Bus Bar went Undervoltage,Power,Info,Functional,Neteco
Phase L1 Under Voltage,Phase One Under Voltage,the first Phase went Undervoltage,Power,Info,Functional,Neteco
Phase L3 Failure,Phase Three Failure,the third Phase experienced a Failure,Power,Failure,Functional,Neteco
Phase L2 Failure,Phase Two Failure,the Second Phase experienced a Failure,Power,Failure,Functional,Neteco
Rectifier Fault,Rectifier Fault,A Rectifier Fault happened,Hardware,Failure,Functional,Neteco
Battery Loop2 Disconnected,Battery Loop2 Disconnected,the Battery Second Loop was Disconnected,Power,Failure,Functional,Neteco
Abnormal Start,Abnormal Start,An abnormal Start was recorded,Hardware,Info,Functional,Neteco
Reverse Battery Connection,Reverse Battery Connection,the Battery Connection was Reversed,Hardware,Emergency,Functional,Neteco
Load Fuse Broken,Load Fuse Broken,the Load Fuse was Broken,Hardware,Failure,Functional,Neteco
Low Rectifier Remaining Capacity,Low Rectifier Remaining Capacity,The Remaining Capacity for the Rectifier was Low,Hardware,Info,Functional,Neteco
D.G. Output Undervoltage Alarm,Diesel Generator Output Undervoltage Alarm,the Diesel Generator experienced an Output Undervoltage,Power,Info,Functional,Neteco
Mains Failure,Mains Failure,The Mains power Failed,Power,Info,Functional,Neteco
Rectifier Protection,Rectifier Protection,A Rectifier Protection issue happened,Hardware,Info,Functional,Neteco
AC Failure,Alternating Current Failure,the Alternating Current Source Failed,Power,Failure,Functional,Neteco
Intelligent DC Air Conditioner Communication Failure,Intelligent Direct Current Air Conditioner Communication Failure,The Communication of Intelligent Air Conditioner failed,Software,Failure,Functional,Neteco
Mains Lose Phase,Mains Lose Phase,A Mains power Lost its Phase,Hardware,Info,Functional,Neteco
Rectifier Power Failure,Rectifier Power Failure,a Rectifier Power source Failed,Power,Failure,Functional,Neteco
Abnormal D.G. Start,Abnormal Diesel Generator Start,a Diesel Generator Started abnormally,Hardware,Info,Functional,Neteco
Communication Failure,Communication Failure,a Communication Failure happened,Software,Failure,Functional,Neteco
D.G. Output Overvoltage Alarm,Diesel Generator Output Overvoltage Alarm,The Output Overvoltage of a Diesel Generator was abnormal,Power,Info,Functional,Neteco
Mains Phase L3 Undervoltage,Mains Phase Three Undervoltage,The third Mains power Phase went Undervoltage,Power,Info,Functional,Neteco
Door Open Alarm,Door Open Alarm,a Door opening alarm sounded,Hardware,Emergency,Functional,Neteco
DC Input Fail,Direct Current Input Fail,the Direct Current Input Failed,Power,Failure,Functional,Neteco
Fan 2 Fault,Fan Two Fault,the second Fan stopped working,Hardware,Emergency,Functional,Neteco
